in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,*,NO,*,YES,YES,*,YES,*,YES,2874,11641,"77,606,079","17,141,490",0.2209
YES,*,*,*,YES,NO,NO,YES,NO,*,6,11640,"94,366,571","23,724",0.0003
YES,*,*,YES,*,NO,NO,YES,*,YES,721,11637,"93,554,859","5,556,313",0.0594
YES,YES,*,*,YES,NO,*,YES,*,*,615,11632,"94,605,206","4,915,837",0.0520
*,YES,*,YES,*,NO,*,YES,NO,*,3,11619,"93,605,075","20,648",0.0002
*,YES,*,*,*,NO,*,YES,NO,YES,4,11593,"92,228,925","23,440",0.0003
YES,*,*,YES,YES,NO,NO,YES,*,YES,716,11589,"93,189,319","5,515,131",0.0592
YES,YES,*,YES,*,NO,*,*,*,YES,621,11584,"93,189,077","4,921,877",0.0528
YES,YES,*,*,*,*,NO,YES,*,YES,501,11572,"89,594,731","3,871,066",0.0432
YES,*,*,*,YES,YES,*,*,NO,*,4,11571,"77,103,633","24,280",0.0003
*,YES,*,*,*,NO,NO,YES,*,*,864,11560,"91,717,418","6,548,820",0.0714
*,NO,*,YES,*,*,*,*,*,*,2078,11540,"75,253,301","12,641,023",0.1680
YES,*,*,*,*,YES,*,*,NO,YES,4,11538,"76,726,958","24,280",0.0003
YES,*,NO,YES,*,*,NO,*,NO,YES,9,11537,"78,733,049","38,116",0.0005
YES,YES,*,YES,YES,NO,*,*,*,YES,607,11519,"92,642,240","4,811,606",0.0519
*,*,NO,*,YES,NO,NO,*,*,*,2091,11516,"82,247,567","13,580,654",0.1651
YES,YES,*,*,YES,*,NO,YES,*,YES,492,11505,"89,062,899","3,785,973",0.0425
YES,YES,*,YES,*,*,NO,YES,*,*,476,11503,"90,386,895","3,789,462",0.0419
*,YES,*,YES,YES,NO,*,YES,NO,*,3,11500,"92,610,076","20,648",0.0002
*,YES,*,*,YES,NO,*,YES,NO,YES,4,11498,"91,455,837","23,440",0.0003
YES,*,NO,YES,YES,*,NO,*,NO,YES,9,11486,"78,328,245","38,116",0.0005
*,*,NO,*,*,NO,*,YES,*,YES,1875,11479,"84,420,780","12,791,018",0.1515
YES,*,*,*,YES,YES,*,*,NO,YES,4,11463,"76,205,767","24,280",0.0003
YES,YES,*,YES,*,*,NO,*,NO,YES,2,11450,"88,295,200","34,257",0.0004
*,*,NO,*,*,NO,*,*,NO,*,17,11440,"84,450,032","98,317",0.0012
YES,YES,*,YES,YES,*,NO,YES,*,*,466,11428,"89,748,385","3,685,242",0.0411
YES,YES,*,*,*,*,NO,YES,NO,*,2,11402,"89,038,702","18,644",0.0002
