in,em,ba,hs,en,ag,hh,he,be,ci,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
*,*,*,*,*,*,*,*,*,*,7218,38725,"273,927,699","44,936,411",0.1640
*,*,*,*,YES,*,*,*,*,*,6902,37851,"267,669,426","42,804,442",0.1599
*,*,*,*,*,*,*,*,*,YES,6818,36928,"259,231,129","41,949,287",0.1618
*,*,*,*,YES,*,*,*,*,YES,6638,36499,"256,169,884","40,725,042",0.1590
*,*,*,*,*,*,*,YES,*,*,5445,32836,"240,442,126","35,317,042",0.1469
*,*,*,*,YES,*,*,YES,*,*,5235,32163,"235,542,211","33,886,297",0.1439
*,*,*,*,*,*,*,YES,*,YES,5132,31236,"227,121,407","32,900,947",0.1449
*,*,*,*,*,*,NO,*,*,*,4880,31203,"220,382,664","30,619,440",0.1389
*,*,*,*,YES,*,*,YES,*,YES,5016,30926,"224,888,524","32,107,155",0.1428
YES,*,*,*,*,*,*,*,*,*,3310,30702,"225,840,636","22,423,401",0.0993
*,*,*,*,YES,*,NO,*,*,*,4688,30663,"216,436,824","29,294,498",0.1353
*,*,*,*,*,*,*,*,NO,*,26,30649,"223,414,443","164,081",0.0007
YES,*,*,*,YES,*,*,*,*,*,3162,30181,"221,881,446","21,332,311",0.0961
*,*,*,*,YES,*,*,*,NO,*,24,30106,"219,371,699","144,753",0.0007
*,*,*,*,*,*,NO,*,*,YES,4667,30026,"210,256,044","28,963,711",0.1378
*,*,*,*,YES,*,NO,*,*,YES,4552,29744,"208,215,963","28,156,036",0.1352
YES,*,*,*,*,*,*,*,*,YES,3140,29571,"215,803,694","21,040,173",0.0975
*,*,NO,*,*,*,*,*,*,*,6755,29534,"200,287,823","41,308,996",0.2062
YES,*,*,*,YES,*,*,*,*,YES,3058,29306,"213,823,315","20,430,296",0.0955
*,*,*,*,*,*,*,*,NO,YES,23,29299,"212,026,309","139,733",0.0007
*,*,*,*,YES,*,*,*,NO,YES,23,29059,"210,251,333","139,733",0.0007
*,*,NO,*,YES,*,*,*,*,*,6452,28739,"194,663,028","39,286,702",0.2018
*,*,NO,*,*,*,*,*,*,YES,6385,28138,"189,724,241","38,641,121",0.2037
*,*,NO,*,YES,*,*,*,*,YES,6213,27751,"186,984,737","37,489,616",0.2005
*,*,*,YES,*,*,*,*,*,*,3367,27653,"199,012,607","22,231,829",0.1117
*,*,*,YES,YES,*,*,*,*,*,3267,27299,"196,210,379","21,467,960",0.1094
YES,*,*,*,*,*,*,*,NO,*,19,26931,"200,214,429","131,690",0.0007
*,*,*,*,*,*,*,YES,NO,*,19,26671,"200,326,486","95,034",0.0005
*,*,*,YES,*,*,*,*,*,YES,3213,26647,"189,887,291","20,901,532",0.1101
YES,*,*,*,YES,*,*,*,NO,*,17,26562,"197,377,869","112,362",0.0006
YES,*,*,*,*,*,*,YES,*,*,2536,26510,"201,246,175","18,044,470",0.0897
*,*,*,YES,YES,*,*,*,*,YES,3149,26453,"188,373,044","20,428,508",0.1084
*,*,*,*,YES,*,*,YES,NO,*,18,26220,"196,944,085","85,370",0.0004
YES,*,*,*,YES,*,*,YES,*,*,2436,26103,"198,085,332","17,276,911",0.0872
YES,*,*,*,*,*,*,*,NO,YES,16,25986,"191,671,387","107,342",0.0006
*,*,*,*,*,*,NO,YES,*,*,3411,25939,"190,684,175","22,786,025",0.1195
YES,*,*,*,YES,*,*,*,NO,YES,16,25806,"190,336,006","107,342",0.0006
YES,*,*,*,*,*,NO,*,*,*,2359,25783,"187,650,137","15,797,409",0.0842
*,*,*,*,*,*,NO,*,NO,*,23,25724,"185,922,072","138,969",0.0007
*,*,*,*,YES,*,NO,YES,*,*,3300,25545,"187,751,249","22,013,173",0.1172
YES,*,*,*,*,*,*,YES,*,YES,2407,25485,"191,971,752","16,934,293",0.0882
YES,*,*,*,YES,*,NO,*,*,*,2272,25453,"185,146,048","15,142,250",0.0818
*,*,*,*,*,*,*,YES,NO,YES,18,25422,"189,689,655","85,370",0.0005
*,*,*,*,YES,*,NO,*,NO,*,21,25383,"183,337,978","119,641",0.0007
YES,*,*,*,YES,*,*,YES,*,YES,2352,25289,"190,486,464","16,515,240",0.0867
*,*,*,*,YES,*,*,YES,NO,YES,18,25236,"188,312,586","85,370",0.0005
YES,*,*,*,*,*,NO,*,*,YES,2262,24972,"180,136,702","14,964,524",0.0831
*,*,*,*,*,*,NO,YES,*,YES,3252,24890,"181,453,428","21,490,253",0.1184
YES,*,*,*,YES,*,NO,*,*,YES,2214,24793,"178,824,664","14,602,046",0.0817
*,*,*,*,*,*,NO,*,NO,YES,20,24785,"177,646,997","114,620",0.0006
*,*,*,*,YES,*,NO,YES,*,YES,3190,24700,"180,067,608","21,054,136",0.1169
*,*,*,*,YES,*,NO,*,NO,YES,20,24622,"176,440,440","114,620",0.0006
*,*,NO,*,*,*,*,YES,*,*,5101,24461,"172,154,151","32,481,944",0.1887
*,*,*,YES,*,*,NO,*,*,*,2679,24272,"173,346,756","17,548,245",0.1012
*,*,*,YES,YES,*,NO,*,*,*,2617,24040,"171,455,118","17,045,227",0.0994
*,*,NO,*,YES,*,*,YES,*,*,4898,23852,"167,788,195","31,106,881",0.1854
*,*,*,YES,*,*,*,*,NO,*,15,23781,"173,442,802","92,144",0.0005
YES,*,*,*,*,*,*,YES,NO,*,13,23580,"180,385,739","71,570",0.0004
*,*,*,YES,YES,*,*,*,NO,*,15,23535,"171,470,790","92,144",0.0005
*,*,*,YES,*,*,NO,*,*,YES,2583,23520,"166,228,191","16,659,542",0.1002
YES,*,*,YES,*,*,*,*,*,*,1747,23419,"172,664,459","12,374,306",0.0717
*,*,*,YES,YES,*,NO,*,*,YES,2543,23386,"165,166,204","16,347,072",0.0990
YES,*,*,*,YES,*,*,YES,NO,*,12,23276,"178,027,201","61,906",0.0003
*,*,NO,*,*,*,*,YES,*,YES,4812,23245,"162,844,299","30,341,138",0.1863
*,*,*,YES,*,*,*,YES,*,*,2289,23207,"172,980,158","16,145,624",0.0933
YES,*,*,YES,YES,*,*,*,*,*,1695,23184,"170,703,362","11,937,100",0.0699
YES,*,*,*,*,*,NO,*,NO,*,16,23083,"169,516,639","106,577",0.0006
*,*,NO,*,YES,*,*,YES,*,YES,4700,22967,"160,864,023","29,576,642",0.1839
*,*,*,YES,*,*,*,*,NO,YES,14,22956,"165,864,494","87,124",0.0005
*,*,*,YES,YES,*,*,YES,*,*,2223,22918,"170,697,172","15,638,005",0.0916
*,*,NO,*,*,*,NO,*,*,*,4492,22877,"154,048,540","27,624,281",0.1793
YES,*,*,*,YES,*,NO,*,NO,*,14,22842,"167,671,669","87,249",0.0005
*,*,*,YES,YES,*,*,*,NO,YES,14,22829,"164,859,333","87,124",0.0005
YES,*,*,YES,*,*,*,*,*,YES,1669,22701,"165,718,177","11,653,078",0.0703
YES,*,*,*,*,*,*,YES,NO,YES,12,22698,"172,316,863","61,906",0.0004
YES,*,*,YES,YES,*,*,*,*,YES,1637,22568,"164,655,585","11,393,861",0.0692
YES,*,*,*,YES,*,*,YES,NO,YES,12,22560,"171,285,749","61,906",0.0004
*,*,NO,*,YES,*,NO,*,*,*,4309,22401,"150,637,752","26,379,925",0.1751
YES,*,*,*,*,*,NO,*,NO,YES,13,22377,"162,904,050","82,229",0.0005
*,*,*,YES,*,*,*,YES,*,YES,2166,22276,"164,447,000","15,061,227",0.0916
YES,*,*,*,YES,*,NO,*,NO,YES,13,22247,"161,962,031","82,229",0.0005
*,*,*,YES,YES,*,*,YES,*,YES,2125,22126,"163,280,595","14,754,159",0.0904
YES,*,NO,*,*,*,*,*,*,*,3016,22100,"156,336,130","20,020,383",0.1281
*,*,NO,*,*,*,NO,*,*,YES,4306,22054,"147,653,658","26,256,109",0.1778
*,*,*,*,*,*,NO,YES,NO,*,17,22039,"164,676,516","81,131",0.0005
*,*,NO,*,*,*,*,*,NO,*,24,22011,"154,038,094","129,046",0.0008
YES,*,*,*,*,*,NO,YES,*,*,1717,21930,"165,207,789","12,235,800",0.0741
*,*,NO,*,YES,*,NO,*,*,YES,4196,21806,"145,884,119","25,502,943",0.1748
*,*,*,*,YES,*,NO,YES,NO,*,16,21762,"162,556,452","71,467",0.0004
YES,*,*,*,YES,*,NO,YES,*,*,1665,21683,"163,302,837","11,830,868",0.0724
YES,*,NO,*,YES,*,*,*,*,*,2872,21639,"152,877,411","18,961,686",0.1240
*,*,NO,*,YES,*,*,*,NO,*,22,21532,"150,519,155","109,718",0.0007
*,*,*,*,*,NO,*,*,*,*,3334,21430,"163,312,607","22,423,233",0.1373
YES,*,*,YES,*,*,*,*,NO,*,11,21383,"158,265,859","68,414",0.0004
YES,*,NO,*,*,*,*,*,*,YES,2860,21305,"149,913,563","18,800,634",0.1254
YES,*,*,YES,YES,*,*,*,NO,*,11,21204,"156,775,030","68,414",0.0004
*,NO,*,*,*,*,*,*,*,*,5643,21199,"140,841,453","33,497,208",0.2378
YES,*,*,*,*,*,NO,YES,*,YES,1648,21197,"158,265,216","11,597,332",0.0733
*,*,*,YES,*,*,NO,*,NO,*,15,21196,"153,225,800","92,144",0.0006
*,*,*,*,*,*,NO,YES,NO,YES,16,21170,"156,911,260","71,467",0.0005
YES,*,NO,*,YES,*,*,*,*,YES,2780,21074,"148,195,418","18,207,613",0.1229
YES,*,*,*,YES,*,NO,YES,*,YES,1619,21069,"157,324,280","11,378,477",0.0723
*,*,*,*,YES,*,NO,YES,NO,YES,16,21046,"155,987,406","71,467",0.0005
*,*,*,YES,YES,*,NO,*,NO,*,15,21032,"151,879,526","92,144",0.0006
*,*,NO,*,*,*,*,*,NO,YES,21,21027,"146,418,142","104,697",0.0007
YES,*,*,YES,*,*,NO,*,*,*,1415,20942,"152,601,019","9,844,958",0.0645
*,*,*,*,YES,NO,*,*,*,*,3171,20853,"159,044,900","21,316,410",0.1340
*,*,NO,*,YES,*,*,*,NO,YES,21,20820,"144,892,166","104,697",0.0007
YES,*,*,YES,YES,*,NO,*,*,*,1385,20784,"151,255,498","9,569,496",0.0633
*,NO,*,*,YES,*,*,*,*,*,5428,20776,"137,955,364","32,067,424",0.2324
YES,*,*,YES,*,*,*,*,NO,YES,10,20755,"152,132,757","63,393",0.0004
YES,*,*,YES,YES,*,*,*,NO,YES,10,20655,"151,346,696","63,393",0.0004
*,*,*,YES,*,*,NO,*,NO,YES,14,20558,"147,155,601","87,124",0.0006
*,*,*,YES,*,*,*,YES,NO,*,10,20518,"154,113,652","43,971",0.0003
*,NO,*,*,*,*,*,*,*,YES,5428,20503,"135,281,571","31,977,186",0.2364
*,*,*,YES,YES,*,NO,*,NO,YES,14,20465,"146,418,148","87,124",0.0006
YES,*,*,YES,*,*,NO,*,*,YES,1367,20371,"146,908,474","9,377,312",0.0638
*,*,*,YES,YES,*,*,YES,NO,*,10,20301,"152,398,172","43,971",0.0003
YES,*,*,YES,YES,*,NO,*,*,YES,1350,20275,"146,145,955","9,232,008",0.0632
*,NO,*,*,YES,*,*,*,*,YES,5288,20256,"133,629,260","31,043,887",0.2323
*,*,*,YES,*,*,NO,YES,*,*,1761,20210,"149,725,690","12,478,630",0.0833
YES,*,*,YES,*,*,*,YES,*,*,1240,20035,"152,339,467","9,368,532",0.0615
*,*,*,YES,YES,*,NO,YES,*,*,1729,20030,"148,262,159","12,206,985",0.0823
YES,*,*,*,*,*,NO,YES,NO,*,11,19930,"150,974,449","57,667",0.0004
*,*,*,*,*,NO,*,*,*,YES,3043,19929,"150,721,583","20,145,767",0.1337
YES,*,*,YES,YES,*,*,YES,*,*,1204,19841,"150,725,532","9,069,190",0.0602
YES,*,*,*,YES,*,NO,YES,NO,*,10,19736,"149,481,596","48,003",0.0003
*,*,*,YES,*,*,*,YES,NO,YES,10,19732,"146,845,118","43,971",0.0003
*,*,*,*,YES,NO,*,*,*,YES,2976,19712,"149,083,251","19,683,686",0.1320
*,*,*,YES,YES,*,*,YES,NO,YES,10,19626,"146,021,843","43,971",0.0003
*,*,*,YES,*,*,NO,YES,*,YES,1689,19519,"143,080,022","11,778,103",0.0823
*,*,*,YES,YES,*,NO,YES,*,YES,1670,19420,"142,300,668","11,622,754",0.0817
YES,*,*,YES,*,*,*,YES,*,YES,1180,19366,"145,773,595","8,794,223",0.0603
YES,*,*,YES,*,*,NO,*,NO,*,11,19291,"141,157,374","68,414",0.0005
YES,*,*,*,*,*,NO,YES,NO,YES,10,19272,"144,723,004","48,003",0.0003
YES,*,*,YES,YES,*,*,YES,*,YES,1157,19260,"144,942,815","8,608,100",0.0594
*,*,*,YES,*,NO,*,*,*,*,2597,19212,"148,890,613","18,020,247",0.1210
YES,*,*,*,YES,*,NO,YES,NO,YES,10,19174,"144,008,463","48,003",0.0003
YES,*,*,YES,YES,*,NO,*,NO,*,11,19166,"140,103,062","68,414",0.0005
*,*,*,YES,YES,NO,*,*,*,*,2532,18952,"146,817,358","17,541,370",0.1195
YES,*,*,YES,*,*,NO,*,NO,YES,10,18776,"136,002,988","63,393",0.0005
*,*,NO,*,*,*,*,YES,NO,*,18,18722,"135,469,775","85,276",0.0006
YES,*,*,YES,YES,*,NO,*,NO,YES,10,18697,"135,385,774","63,393",0.0005
YES,*,NO,*,*,*,*,*,NO,*,18,18697,"133,669,764","106,413",0.0008
*,*,*,*,*,NO,*,YES,*,*,2357,18661,"145,918,987","16,782,616",0.1150
YES,*,NO,*,*,*,*,YES,*,*,2308,18625,"136,502,474","16,108,863",0.1180
YES,*,*,YES,*,*,*,YES,NO,*,7,18559,"141,250,429","29,168",0.0002
*,*,NO,YES,*,*,*,*,*,*,2904,18464,"125,372,731","18,604,415",0.1484
YES,*,*,YES,YES,*,*,YES,NO,*,7,18403,"139,962,441","29,168",0.0002
YES,*,NO,*,YES,*,*,*,NO,*,16,18384,"131,301,282","87,085",0.0007
*,*,NO,*,*,*,NO,YES,*,*,3127,18371,"129,292,223","20,465,952",0.1583
*,*,NO,*,YES,*,*,YES,NO,*,17,18328,"132,565,651","75,612",0.0006
*,NO,NO,*,*,*,*,*,*,*,5418,18311,"119,968,420","31,960,574",0.2664
*,*,*,YES,*,NO,*,*,*,YES,2460,18285,"140,378,819","16,841,457",0.1200
YES,*,NO,*,YES,*,*,YES,*,*,2210,18270,"133,793,206","15,360,143",0.1148
*,*,NO,YES,YES,*,*,*,*,*,2817,18187,"123,203,981","17,950,219",0.1457
*,*,*,*,YES,NO,*,YES,*,*,2229,18171,"142,246,753","15,891,595",0.1117
*,*,*,YES,YES,NO,*,*,*,YES,2424,18160,"139,396,926","16,586,854",0.1190
*,*,*,YES,*,*,NO,YES,NO,*,10,18137,"135,166,265","43,971",0.0003
YES,*,NO,*,*,*,*,*,NO,YES,15,18070,"128,532,058","82,065",0.0006
*,*,NO,*,YES,*,NO,YES,*,*,3019,18029,"126,802,913","19,719,693",0.1555
*,*,*,YES,YES,*,NO,YES,NO,*,10,17993,"134,010,270","43,971",0.0003
YES,*,*,YES,*,*,*,YES,NO,YES,7,17960,"135,335,624","29,168",0.0002
YES,*,NO,*,*,*,NO,*,*,*,2113,17942,"124,757,905","13,821,089",0.1108
YES,*,NO,*,*,*,*,YES,*,YES,2190,17925,"130,766,574","15,140,729",0.1158
*,NO,NO,*,YES,*,*,*,*,*,5213,17925,"117,403,498","30,622,218",0.2608
YES,*,NO,*,YES,*,*,*,NO,YES,15,17922,"127,442,054","82,065",0.0006
YES,*,*,YES,YES,*,*,YES,NO,YES,7,17878,"134,708,281","29,168",0.0002
*,*,NO,*,*,*,NO,*,NO,*,21,17866,"123,155,361","103,933",0.0008
*,*,NO,YES,*,*,*,*,*,YES,2780,17858,"120,380,403","17,593,365",0.1461
*,*,NO,*,*,*,*,YES,NO,YES,17,17829,"128,522,963","75,612",0.0006
YES,*,*,YES,*,*,NO,YES,*,*,976,17779,"133,730,129","7,297,739",0.0546
YES,*,NO,*,YES,*,*,YES,*,YES,2136,17757,"129,508,957","14,729,658",0.1137
*,NO,NO,*,*,*,*,*,*,YES,5213,17739,"115,744,146","30,525,513",0.2637
*,*,NO,YES,YES,*,*,*,*,YES,2724,17705,"119,187,897","17,193,082",0.1443
*,*,NO,*,YES,*,*,YES,NO,YES,17,17671,"127,369,205","75,612",0.0006
YES,*,NO,*,YES,*,NO,*,*,*,2028,17662,"122,672,530","13,179,484",0.1074
*,*,NO,*,*,*,NO,YES,*,YES,2989,17660,"123,671,094","19,413,779",0.1570
YES,*,*,YES,YES,*,NO,YES,*,*,960,17654,"132,671,998","7,143,457",0.0538
*,*,*,*,*,NO,*,*,NO,*,19,17611,"137,689,076","133,352",0.0010
*,*,NO,*,YES,*,NO,*,NO,*,19,17580,"121,025,734","84,605",0.0007
*,*,*,*,*,NO,NO,*,*,*,2444,17565,"133,944,815","16,417,283",0.1226
*,*,*,YES,*,*,NO,YES,NO,YES,10,17532,"129,354,799","43,971",0.0003
*,YES,*,*,*,*,*,*,*,*,1575,17524,"133,086,246","11,439,203",0.0860
*,NO,NO,*,YES,*,*,*,*,YES,5079,17509,"114,226,547","29,651,391",0.2596
*,*,NO,*,YES,*,NO,YES,*,YES,2928,17496,"122,494,764","18,988,725",0.1550
*,*,*,YES,YES,*,NO,YES,NO,YES,10,17453,"128,742,856","43,971",0.0003
YES,*,NO,*,*,*,NO,*,*,YES,2028,17434,"120,551,885","13,129,463",0.1089
*,*,*,*,*,YES,*,*,*,*,3884,17293,"110,615,092","22,513,178",0.2035
*,*,*,*,*,NO,*,YES,*,YES,2118,17291,"134,302,915","14,870,754",0.1107
YES,*,NO,*,YES,*,NO,*,*,YES,1981,17284,"119,461,132","12,775,858",0.1069
*,*,NO,*,*,*,NO,*,NO,YES,18,17251,"118,288,950","79,585",0.0007
YES,*,*,YES,*,*,NO,YES,*,YES,943,17250,"128,358,476","6,947,775",0.0541
*,*,*,*,YES,NO,NO,*,*,*,2355,17229,"131,412,285","15,810,214",0.1203
*,*,*,*,YES,NO,*,*,NO,*,17,17205,"134,585,137","114,024",0.0008
YES,*,*,YES,YES,*,NO,YES,*,YES,934,17176,"127,786,578","6,867,581",0.0537
*,*,NO,*,YES,*,NO,*,NO,YES,18,17117,"117,298,426","79,585",0.0007
*,*,*,*,YES,NO,*,YES,*,YES,2067,17115,"132,951,774","14,501,325",0.1091
YES,*,*,*,*,NO,*,*,*,*,1594,17104,"135,890,104","11,715,465",0.0862
*,YES,*,*,YES,*,*,*,*,*,1474,17075,"129,714,062","10,737,019",0.0828
*,*,*,*,*,YES,*,*,*,YES,3775,16998,"108,509,546","21,803,520",0.2009
*,*,*,*,YES,YES,*,*,*,*,3731,16998,"108,624,526","21,488,032",0.1978
*,*,*,YES,*,NO,*,YES,*,*,1895,16973,"134,492,646","13,768,786",0.1024
*,NO,*,*,*,*,*,YES,*,*,4144,16876,"117,603,659","25,723,742",0.2187
*,*,*,*,YES,YES,*,*,*,YES,3662,16787,"107,086,633","21,041,356",0.1965
YES,*,*,*,YES,NO,*,*,*,*,1518,16761,"133,204,807","11,142,020",0.0836
*,*,*,YES,YES,NO,*,YES,*,*,1844,16744,"132,674,385","13,391,189",0.1009
YES,*,*,YES,*,*,NO,YES,NO,*,7,16611,"125,086,723","29,168",0.0002
*,NO,*,*,YES,*,*,YES,*,*,4018,16593,"115,658,722","24,884,632",0.2152
*,*,*,*,*,NO,NO,*,*,YES,2297,16587,"125,289,914","15,214,993",0.1214
YES,*,*,YES,YES,*,NO,YES,NO,*,7,16503,"124,192,165","29,168",0.0002
*,*,*,*,YES,NO,NO,*,*,YES,2258,16455,"124,286,795","14,944,637",0.1202
*,*,*,*,*,NO,*,*,NO,YES,16,16441,"127,657,720","109,004",0.0009
*,YES,*,*,*,*,*,*,*,YES,1390,16424,"123,949,557","9,972,101",0.0805
*,*,*,*,YES,NO,*,*,NO,YES,16,16296,"126,531,425","109,004",0.0009
*,NO,*,*,*,*,*,YES,*,YES,3983,16283,"112,714,253","24,543,559",0.2178
*,NO,*,*,*,*,NO,*,*,*,3742,16264,"107,242,537","22,303,233",0.2080
*,YES,*,*,YES,*,*,*,*,YES,1350,16243,"122,540,623","9,681,155",0.0790
*,*,*,YES,*,NO,*,*,NO,*,13,16203,"128,113,936","83,566",0.0007
YES,*,*,*,*,NO,*,*,*,YES,1474,16165,"127,358,904","10,688,033",0.0839
*,NO,*,*,YES,*,*,YES,*,YES,3901,16127,"111,688,128","23,991,702",0.2148
YES,*,*,YES,*,*,NO,YES,NO,YES,7,16121,"120,120,351","29,168",0.0002
*,YES,*,YES,*,*,*,*,*,*,1289,16113,"123,759,306","9,590,806",0.0775
*,*,*,YES,*,NO,*,YES,*,YES,1781,16101,"126,439,465","12,778,392",0.1011
*,*,*,YES,*,NO,NO,*,*,*,1960,16073,"124,545,807","13,618,076",0.1093
YES,*,*,YES,YES,*,NO,YES,NO,YES,7,16056,"119,628,648","29,168",0.0002
YES,*,*,*,YES,NO,*,*,*,YES,1442,16026,"126,266,719","10,437,619",0.0827
*,*,*,YES,YES,NO,*,*,NO,*,13,16014,"126,571,355","83,566",0.0007
*,NO,*,*,YES,*,NO,*,*,*,3611,16000,"105,387,018","21,426,756",0.2033
*,*,*,YES,YES,NO,*,YES,*,YES,1752,15993,"125,593,534","12,567,955",0.1001
YES,*,NO,*,*,*,*,YES,NO,*,13,15993,"118,113,166","71,570",0.0006
*,YES,*,*,*,*,*,YES,*,*,1301,15960,"122,838,467","9,593,299",0.0781
*,*,NO,YES,*,*,NO,*,*,*,2291,15946,"107,012,632","14,553,085",0.1360
*,*,*,YES,YES,NO,NO,*,*,*,1928,15917,"123,258,874","13,362,454",0.1084
*,YES,*,YES,YES,*,*,*,*,*,1247,15912,"122,089,775","9,272,295",0.0759
*,*,*,*,*,NO,*,YES,NO,*,12,15908,"126,461,454","64,305",0.0005
*,NO,*,*,*,*,NO,*,*,YES,3631,15833,"103,551,263","21,512,385",0.2077
YES,*,*,YES,*,NO,*,*,*,*,1309,15815,"126,909,480","9,815,298",0.0773
*,*,NO,YES,YES,*,NO,*,*,*,2238,15778,"105,656,047","14,130,654",0.1337
YES,*,NO,*,YES,*,*,YES,NO,*,12,15739,"116,187,365","61,906",0.0005
