in,em,ba,hs,en,ag,hh,he,be,sample_used_benefits,sample_total,total_weighted_pop,weighted_used_benefits,rate
YES,*,*,NO,*,*,YES,YES,*,33,152,1137631.46,247362.56,0.2174
NO,*,*,*,NO,*,*,YES,*,49,152,991476.79,288448.98,0.2909
YES,NO,*,YES,YES,*,NO,*,*,12,152,1563172.96,96305.33,0.0616
*,*,NO,YES,YES,*,YES,*,*,42,152,1194396.54,320460.88,0.2683
YES,NO,*,*,*,NO,NO,YES,NO,0,151,1587975.99,0.00,0.0000
*,*,*,*,*,YES,*,YES,NO,0,151,1166561.36,0.00,0.0000
*,*,NO,NO,YES,NO,NO,YES,*,25,151,1088253.98,202660.66,0.1862
*,*,*,NO,YES,NO,NO,YES,*,25,151,1088253.98,202660.66,0.1862
YES,NO,*,YES,YES,NO,*,YES,*,12,151,1605173.51,121230.21,0.0755
YES,*,*,*,NO,*,NO,*,*,39,151,1192051.01,292680.62,0.2455
YES,*,NO,NO,YES,*,NO,*,*,23,151,1211841.05,202715.94,0.1673
YES,*,*,NO,YES,*,NO,*,*,23,151,1211841.05,202715.94,0.1673
NO,NO,*,*,*,*,NO,*,*,67,151,1028236.52,435985.53,0.4240
*,*,NO,*,NO,NO,YES,*,*,46,151,1063595.90,308028.19,0.2896
*,*,NO,YES,YES,NO,YES,*,*,42,151,1186822.54,320460.88,0.2700
NO,*,NO,*,NO,NO,*,*,*,50,151,994337.49,305224.47,0.3070
YES,NO,*,YES,*,*,NO,YES,NO,0,150,1599250.58,0.00,0.0000
NO,*,*,YES,YES,*,*,YES,NO,0,150,1122170.44,0.00,0.0000
*,YES,NO,*,YES,*,YES,*,NO,0,150,1155340.40,0.00,0.0000
YES,*,*,*,*,YES,*,YES,*,30,150,1255697.70,245052.89,0.1952
NO,YES,*,*,YES,*,NO,*,*,34,150,1128416.59,288421.80,0.2556
YES,NO,NO,*,YES,*,*,YES,NO,0,149,1307918.23,0.00,0.0000
YES,YES,NO,YES,*,NO,NO,*,NO,1,149,1332209.76,5020.52,0.0038
*,NO,NO,NO,YES,*,*,*,NO,0,149,1100684.63,0.00,0.0000
*,NO,*,NO,YES,*,*,*,NO,0,149,1100684.63,0.00,0.0000
NO,YES,NO,*,YES,*,*,*,NO,0,149,1096108.95,0.00,0.0000
NO,*,NO,YES,*,*,*,*,NO,0,149,1082361.02,0.00,0.0000
*,NO,NO,*,*,NO,YES,YES,*,52,149,1084058.82,407187.12,0.3756
NO,NO,*,*,YES,NO,*,*,*,50,149,1113745.10,386618.10,0.3471
NO,*,*,YES,YES,NO,*,YES,NO,0,148,1111185.62,0.00,0.0000
*,NO,NO,*,YES,NO,*,YES,NO,0,148,1184485.62,0.00,0.0000
*,NO,NO,YES,*,*,*,*,NO,0,148,1212117.96,0.00,0.0000
*,YES,NO,*,*,NO,*,YES,YES,129,148,1096347.57,970118.14,0.8849
YES,*,NO,NO,YES,NO,*,YES,*,19,148,1100954.85,169706.96,0.1541
